************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  1   1   4   1.49937    .6669  7.19487e+02    0.2%   2   18   81.017
  1   4   1   1.49937    .6669  3.52017e+02    0.1%   2   18   81.017
  4  -1   1   1.49937    .6669  3.40050e+02    0.1%   2   18   81.017
  1  -1   4   1.49937    .6669  7.19491e+02    0.2%   2   18   81.017
 -1   1   4   1.49937    .6669  7.19491e+02    0.2%   2   18   81.017
  1   4  -1   1.49937    .6669  3.52017e+02    0.1%   2   18   81.017
 -1   4   1   1.49937    .6669  3.52024e+02    0.1%   2   18   81.017
  4   1  -1   1.49937    .6669  3.40048e+02    0.1%   2   18   81.017
 -4   1   1   1.49937    .6669  3.40050e+02    0.1%   2   18   81.017
  1   1  -4   1.49937    .6669  7.19487e+02    0.2%   2   18   81.017
  1  -4   1   1.49937    .6669  3.52024e+02    0.1%   2   18   81.017
  0   3  -3   1.49937    .6669  8.26764e+02    0.2%   2   18   81.017
  3  -3   0   1.49937    .6669  3.13928e+02    0.1%   2   18   81.017
  3   0  -3   1.49937    .6669  1.66778e+01    0.0%   2   18   81.017
  3   3   1   1.45938    .6852  3.97649e+03    0.9%   2   19   78.856
  3   1   3   1.45938    .6852  4.15815e+03    0.9%   2   19   78.856
  1   3   3   1.45938    .6852  6.18970e+03    1.3%   2   19   78.856
  3  -1   3   1.45938    .6852  4.15813e+03    0.9%   2   19   78.856
 -1   3   3   1.45938    .6852  6.18972e+03    1.3%   2   19   78.856
  3   3  -1   1.45938    .6852  3.97649e+03    0.9%   2   19   78.856
  3  -3   1   1.45938    .6852  3.97647e+03    0.9%   2   19   78.856
  1  -3   3   1.45938    .6852  6.18972e+03    1.3%   2   19   78.856
 -3   1   3   1.45938    .6852  4.15813e+03    0.9%   2   19   78.856
  3   1  -3   1.45938    .6852  4.15815e+03    0.9%   2   19   78.856
 -3   3   1   1.45938    .6852  3.97647e+03    0.9%   2   19   78.856
  1   3  -3   1.45938    .6852  6.18970e+03    1.3%   2   19   78.856
  0   2   4   1.42243    .7030  3.52536e+04    7.6%   2   20   76.859
  2   0   4   1.42243    .7030  2.56231e+04    5.5%   2   20   76.859
  4   2   0   1.42243    .7030  2.82303e+04    6.1%   2   20   76.859
  0   4   2   1.42243    .7030  3.29866e+04    7.1%   2   20   76.859
  4   0   2   1.42243    .7030  3.11174e+04    6.7%   2   20   76.859
  2   4   0   1.42243    .7030  2.52697e+04    5.5%   2   20   76.859
  4  -2   0   1.42243    .7030  2.82304e+04    6.1%   2   20   76.859
  0   4  -2   1.42243    .7030  3.29866e+04    7.1%   2   20   76.859
  2   0  -4   1.42243    .7030  2.56231e+04    5.5%   2   20   76.859
